periodo_orbital,duracion_transito,profundidad,pl_radio,insolacion,st_radio,st_temperatura,st_gravedad,pl_temperatura_eq,RA,DEC,mission,object_id,label
6.575315881,4.3084,2793.3,5.31,251.38,0.989,5992.0,4.415,1015.0,290.09805,50.321609,Kepler,K00782.01,CONFIRMED
7.275040844,7.5377,3001.0,4.86,113.64,0.867,5485.0,4.556,833.0,295.45529,50.49456,Kepler,K00783.01,CONFIRMED
19.27153892,2.7594,1219.8,1.93,5.66,0.56,4077.0,4.702,393.0,293.97336,50.53191,Kepler,K00784.01,CONFIRMED
10.06524317,1.369,1053.3,1.91,13.43,0.56,4077.0,4.702,488.0,293.97336,50.53191,Kepler,K00784.02,CONFIRMED
12.3935651,3.8896,916.6,2.66,49.68,0.75,5557.0,4.603,677.0,296.02133,50.56778,Kepler,K00785.01,CONFIRMED
43.84439721,6.802,615.2,2.87,18.77,1.012,5854.0,4.406,531.0,300.86398,44.337551,Kepler,K00116.02,CONFIRMED
3.341913228,3.813,725.3,21.55,268.67,0.811,5295.0,4.551,1032.0,292.31595,38.27029,Kepler,K00798.01,FALSE POSITIVE
1.626630225,2.1145,1620.6,32.43,1355.88,0.973,5735.0,4.41,1547.0,294.36819,38.31028,Kepler,K00799.01,FALSE POSITIVE
2.711504086,3.0099,837.5,3.12,960.79,1.076,6214.0,4.442,1420.0,291.65353,38.494659,Kepler,K00800.01,CONFIRMED
7.21203748,4.0491,950.4,3.32,260.58,1.076,6214.0,4.442,1025.0,291.65353,38.494659,Kepler,K00800.02,CONFIRMED
14.1798187,2.505,459.9,1.88,60.35,0.878,5799.0,4.539,711.0,291.0448,51.321671,Kepler,K00789.01,FALSE POSITIVE
8.47237911,2.7245,1123.5,2.59,75.44,0.788,5354.0,4.587,751.0,296.36652,51.319519,Kepler,K00790.01,CONFIRMED
60.4189369,5.039,931.3,2.36,5.49,0.788,5354.0,4.587,390.0,296.36652,51.319519,Kepler,K00790.02,CONFIRMED
12.611904345,5.1497,6105.6,7.4,76.15,0.919,5795.0,4.508,753.0,289.11221,51.737381,Kepler,K00791.01,CONFIRMED
1.433769925,1.8868,1976.3,46.58,3209.29,1.339,6017.0,4.22,1920.0,290.84369,37.728828,Kepler,K00792.01,FALSE POSITIVE
10.31872301,3.836,871.7,28.59,139.26,1.06,5927.0,4.409,876.0,291.84891,37.713501,Kepler,K00793.01,FALSE POSITIVE
2.539183147,2.4282,382.1,2.06,743.09,1.062,5519.0,4.35,1332.0,291.43997,37.905659,Kepler,K00794.01,CONFIRMED
6.770300385,2.0844,1304.0,2.77,102.87,0.679,5653.0,4.656,812.0,290.87051,38.273628,Kepler,K00795.01,CONFIRMED
0.444291966,2.0792,10967.0,27.51,2706.26,0.636,5255.0,4.678,1836.0,290.99689,38.28492,Kepler,K00796.01,FALSE POSITIVE
10.181584004,3.5089,5741.1,7.73,102.91,0.836,5988.0,4.541,812.0,291.28195,38.241669,Kepler,K00797.01,CANDIDATE
20.06036336,3.3203,1494.7,1.96,4.0,0.493,3950.0,4.754,361.0,286.07913,39.27832,Kepler,K00812.02,CONFIRMED
46.1842039,4.758,1394.7,1.83,1.32,0.493,3950.0,4.754,273.0,286.07913,39.27832,Kepler,K00812.03,CONFIRMED
23.9800854,5.351,104.0,1.31,41.94,1.012,5854.0,4.406,649.0,300.86398,44.337551,Kepler,K00116.04,CONFIRMED
7.82502168,2.186,520.8,1.2,14.05,0.493,3950.0,4.754,494.0,286.07913,39.27832,Kepler,K00812.04,CONFIRMED
3.895936525,2.3111,8544.8,7.34,241.62,0.774,5557.0,4.592,1005.0,294.65524,39.308361,Kepler,K00813.01,CONFIRMED
22.36646466,5.228,986.8,2.32,19.45,0.734,5395.0,4.615,536.0,294.71063,39.52174,Kepler,K00814.01,CONFIRMED
1.625522174,2.38963,7969.0,9.73,1467.41,1.106,5539.0,4.322,1579.0,293.87192,38.422939,Kepler,K00801.01,CONFIRMED
19.620346923,2.0038,21725.0,13.6,40.39,0.905,5710.0,4.492,643.0,293.81619,38.563568,Kepler,K00802.01,CANDIDATE
7.544039,6.222,322.6,17.47,116.46,0.824,5657.0,4.567,838.0,293.94116,38.601101,Kepler,K00803.01,FALSE POSITIVE
9.02930689,3.1449,1019.8,2.57,77.75,0.82,5349.0,4.526,757.0,290.33362,38.72823,Kepler,K00804.01,CONFIRMED
10.328035714,7.7915,16918.0,13.28,119.31,1.024,5627.0,4.359,843.0,287.69675,38.886452,Kepler,K00805.01,FALSE POSITIVE
143.2063047,8.9302,10566.0,8.9,2.14,0.867,5485.0,4.556,308.0,285.28363,38.947281,Kepler,K00806.01,CONFIRMED
6.164876,3.262,55.8,0.79,256.35,1.012,5854.0,4.406,1021.0,300.86398,44.337551,Kepler,K00116.03,CONFIRMED
60.32494216,6.6188,20280.0,12.19,6.77,0.867,5485.0,4.556,411.0,285.28363,38.947281,Kepler,K00806.02,CONFIRMED
29.1598615,4.803,488.0,1.91,17.85,0.867,5485.0,4.556,524.0,285.28363,38.947281,Kepler,K00806.03,CONFIRMED
1.540397253,2.1541,816.1,25.69,1105.68,0.915,5663.0,4.53,1470.0,286.92639,38.921631,Kepler,K00807.01,FALSE POSITIVE
2.99025443,5.414,589.2,1.7,168.45,0.731,4667.0,4.578,918.0,287.74881,38.92955,Kepler,K00808.01,FALSE POSITIVE
1.594745374,1.9604,15044.0,11.3,1329.42,0.893,5934.0,4.491,1539.0,285.21381,39.027481,Kepler,K00809.01,CONFIRMED
4.783002698,2.335,1008.7,2.5,145.48,0.807,5170.0,4.574,886.0,287.09399,39.060719,Kepler,K00810.01,CONFIRMED
20.50588921,4.0595,2105.5,3.41,17.06,0.761,4905.0,4.544,518.0,289.31543,39.153278,Kepler,K00811.01,CONFIRMED
3.340218842,1.9104,1632.6,2.03,43.73,0.493,3950.0,4.754,656.0,286.07913,39.27832,Kepler,K00812.01,CONFIRMED
2.507089906,2.0067,1339.2,30.26,730.47,0.939,5926.0,4.506,1326.0,295.37805,40.493401,Kepler,K00828.01,FALSE POSITIVE
18.64932728,4.4056,893.6,3.12,57.13,1.053,5775.0,4.405,701.0,290.46176,40.562462,Kepler,K00829.01,CONFIRMED
4.90144976,4.1654,140.7,1.7,598.74,1.402,5847.0,4.191,1262.0,297.02826,48.208611,Kepler,K00117.02,CONFIRMED
9.75192101,4.793,418.0,2.76,135.66,1.053,5775.0,4.405,870.0,290.46176,40.562462,Kepler,K00829.02,CONFIRMED
38.5576546,5.794,993.0,4.02,21.71,1.053,5775.0,4.405,550.0,290.46176,40.562462,Kepler,K00829.03,CONFIRMED
3.525632539,2.59959,22335.0,11.58,213.12,0.793,5150.0,4.572,975.0,290.58173,40.5774,Kepler,K00830.01,CONFIRMED
34.84398644,2.9315,4523.6,7.61,16.1,0.871,5509.0,4.482,511.0,285.92001,39.624828,Kepler,K00815.01,CANDIDATE
7.748094239,3.5957,2472.1,5.52,204.39,1.085,5973.0,4.439,964.0,294.4899,39.771439,Kepler,K00816.01,CONFIRMED
23.96793669,3.827,1182.3,1.8,2.77,0.524,3747.0,4.728,329.0,283.86639,39.898079,Kepler,K00817.01,CONFIRMED
8.29561738,1.3421,824.3,1.82,11.39,0.524,3747.0,4.728,469.0,283.86639,39.898079,Kepler,K00817.02,CONFIRMED
8.11437482,2.2736,1558.0,2.1,10.55,0.517,3692.0,4.753,460.0,288.81201,40.033401,Kepler,K00818.01,CONFIRMED
38.036729482,4.34617,82872.0,27.5,14.81,0.932,5575.0,4.521,500.0,294.14789,40.055538,Kepler,K00819.01,FALSE POSITIVE
4.64090031,35.512,2450.6,30.09,421.08,0.826,6463.0,4.5,1155.0,295.11371,40.071171,Kepler,K00820.01,CANDIDATE
3.747838198,5.0642,616.0,13.65,266.76,0.826,5514.0,4.569,1031.0,291.06152,50.265129,Kepler,K00011.01,FALSE POSITIVE
14.74914825,6.0995,430.2,2.89,137.91,1.402,5847.0,4.191,874.0,297.02826,48.208611,Kepler,K00117.01,CONFIRMED
21.81295996,4.3791,1175.4,3.38,39.33,0.999,5601.0,4.41,639.0,294.77686,40.15374,Kepler,K00821.01,CONFIRMED
7.91936937,3.3148,15148.0,10.34,104.0,0.776,5690.0,4.588,814.0,283.53845,40.217999,Kepler,K00822.01,FALSE POSITIVE
1.028436523,1.8606,8098.0,72.77,3400.48,0.99,6228.0,4.428,1947.0,296.00699,40.295429,Kepler,K00823.01,CANDIDATE
15.37562369,3.3169,15337.0,11.01,30.54,0.833,4986.0,4.496,600.0,283.25354,40.358189,Kepler,K00824.01,CONFIRMED
